last_name,first_name,patronymic,organization_name,work_phone,personal_phone
Смирнов,Аарон,Абакумович,Tr,89105418949,89105418949
Иванов,Аббас,Абрамович,Tr,89105418949,89105418949
Соколов,Абдуллах,Аввакумович,Tr,89105418949,89105418949
Попов,Абид,Августович,Tr,89105418949,89105418949
Лебедев,Аботур,Авдеевич,Tr,89105418949,89105418949
Козлов,Аввакум,Авдиевич,Tr,89105418949,89105418949
Новиков,Август,Авенирович,Tr,89105418949,89105418949
Морозов,Авдей,Авериевич,Tr,89105418949,89105418949
Петров,Авель,Аверкиевич,Tr,89105418949,89105418949
Волков,Авигдор,Аверьянович,Tr,89105418949,89105418949
Васильев,Авл,Аврамович,Tr,89105418949,89105418949
Зайцев,Авнер,Агапович,Tr,89105418949,89105418949
